P,P,C,1B,2B,3B,SS,OF,OF,OF
Zack Greinke (15272687),Alec Mills (15272689),Willson Contreras (15272693),Anthony Rizzo (15272691),Jason Kipnis (15272736),Kris Bryant (15272696),Javier Baez (15272699),Ian Happ (15272707),Kyle Schwarber (15272705),Jason Heyward (15272749),97.86,
Alec Mills (15272689),Zack Greinke (15272687),Willson Contreras (15272693),Jose Martinez (15272706),Jason Kipnis (15272736),Kris Bryant (15272696),Javier Baez (15272699),Michael Brantley (15272719),Kyle Schwarber (15272705),Ian Happ (15272707),95.50000000000001,
Lance Lynn (15272688),Alec Mills (15272689),Willson Contreras (15272693),Anthony Rizzo (15272691),Jason Kipnis (15272736),Kris Bryant (15272696),Elvis Andrus (15272738),Kyle Schwarber (15272705),Joey Gallo (15272700),Ian Happ (15272707),91.19000000000001,
Zack Greinke (15272687),Alec Mills (15272689),Willson Contreras (15272693),Yuli Gurriel (15272694),Jose Altuve (15272692),Jack Mayfield (15272724),Carlos Correa (15272695),Josh Reddick (15272720),Jason Heyward (15272749),Michael Brantley (15272719),87.38,
Alec Mills (15272689),Lance Lynn (15272688),Willson Contreras (15272693),Derek Dietrich (15272721),Nick Solak (15272728),Isiah Kiner-Falefa (15272717),Elvis Andrus (15272738),Shin-Soo Choo (15272741),Leody Taveras (15272755),Joey Gallo (15272700),78.80000000000001,
GPP 
Alec Mills (15272689),Lance Lynn (15272688),Willson Contreras (15272693),Derek Dietrich (15272721),Nick Solak (15272728),Isiah Kiner-Falefa (15272717),Elvis Andrus (15272738),Shin-Soo Choo (15272741),Leody Taveras (15272755),Joey Gallo (15272700),65.62690645002861,
Zack Greinke (15272687),Alec Mills (15272689),Willson Contreras (15272693),Anthony Rizzo (15272691),Jose Altuve (15272692),Jack Mayfield (15272724),Javier Baez (15272699),Jason Heyward (15272749),Ian Happ (15272707),Michael Brantley (15272719),87.84488285392152,
Alec Mills (15272689),Zack Greinke (15272687),Willson Contreras (15272693),Yuli Gurriel (15272694),Jason Kipnis (15272736),Kris Bryant (15272696),Javier Baez (15272699),Ian Happ (15272707),Jason Heyward (15272749),Kyle Tucker (15272701),90.72286747352948,
Zack Greinke (15272687),Alec Mills (15272689),Willson Contreras (15272693),Anthony Rizzo (15272691),Jason Kipnis (15272736),Kris Bryant (15272696),Javier Baez (15272699),Michael Brantley (15272719),Jason Heyward (15272749),Ian Happ (15272707),90.67667757100712,
Lance Lynn (15272688),Alec Mills (15272689),Willson Contreras (15272693),Jose Martinez (15272706),Derek Dietrich (15272721),Isiah Kiner-Falefa (15272717),Elvis Andrus (15272738),Shin-Soo Choo (15272741),Joey Gallo (15272700),Nick Solak (15272728),67.50362623623082,
Stacks 
Double Stacks 
