,Name,FP,TBF,IP,W,Ha,BBa,ER,K
0,Clayton Kershaw,19.39,22.805,5.7,0.49,4.6850000000000005,1.2,1.4953333333333334,5.9350000000000005
1,Andrew Heaney,17.395,24.11,5.74,0.33999999999999997,5.32,1.815,2.456555555555555,6.25
2,Zach Eflin,13.455,21.08,4.945,0.365,4.99,1.49,2.4475555555555553,4.885
3,Mike Clevinger,14.98,22.409999999999997,5.25,0.32,4.744999999999999,2.105,2.3711111111111105,5.415
4,Danny Duffy,12.445,21.42,4.91,0.325,5.18,1.695,2.7012222222222224,4.915
5,Dylan Cease,11.565,23.535,5.32,0.325,5.525,2.305,3.193,4.555
6,Taijuan Walker,10.98,21.96,4.99,0.35,5.41,1.755,2.860666666666667,4.279999999999999
7,Luke Weaver,10.004999999999999,18.775,4.265,0.15,4.445,1.6800000000000002,2.4048888888888893,4.28
8,J.A. Happ,8.59,19.88,4.4399999999999995,0.23500000000000001,4.985,1.7650000000000001,2.6653333333333333,3.565
9,Martin Perez,7.6,19.48,4.295,0.21,5.029999999999999,1.7850000000000001,2.84,3.455
10,Zack Greinke,19.53,24.15,6.11,0.41,5.11,1.21,1.380666666666666,5.79
11,Lance Lynn,15.57,23.68,5.65,0.28,5.28,1.97,2.338888888888889,5.36
12,Alec Mills,8.89,17.96,4.18,0.27,4.52,1.29,2.067555555555555,3.07
13,Jonathan Brubaker,8.87,17.0,3.84,0.16,3.83,1.99,2.264,3.64
14,Robert Gsellman,9.3,4.43,3.81,0.27,2.08,17.02,1.16,3.62
15,Anibal Sanchez,8.2,6.44,5.37,0.23,4.12,24.3,1.75,4.2
16,Kenley Jansen,1.7,0.44,0.66,0.03,0.11,2.73,0.31,0.4
17,Ken Giles,1.3,0.86,0.57,0.03,0.58,3.54,0.97,1.1
18,Edwin Diaz,1.2,0.42,0.52,0.03,0.17,2.23,0.25,0.35
19,Hector Neris,0.8,0.7,0.6,0.03,0.41,2.77,0.27,0.36
20,Matt Barnes,0.7,0.38,0.36,0.02,0.2,1.7,0.24,0.3
21,Aroldis Chapman,0.3,0.57,0.42,0.02,0.37,1.98,0.15,0.22
22,Sean Doolittle,0.1,0.49,0.33,0.02,0.32,1.6,0.12,0.17
23,Hansel Robles,0.0,0.85,0.48,0.02,0.61,2.6,0.31,0.39
